[113, '230', 'Roi[Traced,', 'x=165,', 'y=58,', 'width=23,', 'height=16]']
[114, '8', 'Roi[Traced,', 'x=199,', 'y=58,', 'width=4,', 'height=3]']
[115, '25', 'Roi[Traced,', 'x=287,', 'y=58,', 'width=6,', 'height=5]']
[116, '140', 'Roi[Traced,', 'x=411,', 'y=59,', 'width=16,', 'height=12]']
[117, '325', 'Roi[Traced,', 'x=451,', 'y=59,', 'width=30,', 'height=19]']
[118, '120', 'Roi[Traced,', 'x=77,', 'y=61,', 'width=14,', 'height=14]']
[119, '25', 'Roi[Traced,', 'x=116,', 'y=61,', 'width=6,', 'height=6]']
[120, '89', 'Roi[Traced,', 'x=153,', 'y=61,', 'width=11,', 'height=17]']
[121, '105', 'Roi[Traced,', 'x=0,', 'y=62,', 'width=13,', 'height=13]']
[122, '103', 'Roi[Traced,', 'x=102,', 'y=62,', 'width=10,', 'height=16]']
[123, '39', 'Roi[Traced,', 'x=385,', 'y=62,', 'width=8,', 'height=7]']
[124, '79', 'Roi[Traced,', 'x=92,', 'y=63,', 'width=9,', 'height=11]']
[125, '240', 'Roi[Traced,', 'x=393,', 'y=63,', 'width=19,', 'height=21]']
[126, '17', 'Roi[Traced,', 'x=46,', 'y=64,', 'width=5,', 'height=5]']
[127, '135', 'Roi[Traced,', 'x=285,', 'y=64,', 'width=17,', 'height=11]']
[128, '215', 'Roi[Traced,', 'x=61,', 'y=65,', 'width=14,', 'height=23]']
[129, '95', 'Roi[Traced,', 'x=274,', 'y=66,', 'width=11,', 'height=11]']
[130, '122', 'Roi[Traced,', 'x=208,', 'y=67,', 'width=14,', 'height=13]']
[131, '3', 'Roi[Traced,', 'x=43,', 'y=68,', 'width=2,', 'height=2]']
[132, '205', 'Roi[Traced,', 'x=300,', 'y=68,', 'width=25,', 'height=14]']
[133, '108', 'Roi[Traced,', 'x=12,', 'y=69,', 'width=16,', 'height=11]']
[134, '213', 'Roi[Traced,', 'x=431,', 'y=69,', 'width=20,', 'height=16]']
[135, '79', 'Roi[Traced,', 'x=116,', 'y=70,', 'width=9,', 'height=16]']
[136, '93', 'Roi[Traced,', 'x=223,', 'y=70,', 'width=10,', 'height=15]']
[137, '138', 'Roi[Traced,', 'x=255,', 'y=72,', 'width=20,', 'height=10]']
[138, '79', 'Roi[Traced,', 'x=337,', 'y=72,', 'width=10,', 'height=11]']
[139, '57', 'Roi[Traced,', 'x=350,', 'y=72,', 'width=12,', 'height=10]']
[140, '249', 'Roi[Traced,', 'x=32,', 'y=73,', 'width=21,', 'height=19]']
[141, '126', 'Roi[Traced,', 'x=287,', 'y=75,', 'width=16,', 'height=12]']
[142, '64', 'Roi[Traced,', 'x=1,', 'y=76,', 'width=10,', 'height=9]']
[143, '90', 'Roi[Traced,', 'x=126,', 'y=76,', 'width=10,', 'height=13]']
[144, '208', 'Roi[Traced,', 'x=376,', 'y=76,', 'width=22,', 'height=16]']
[145, '275', 'Roi[Traced,', 'x=449,', 'y=76,', 'width=24,', 'height=22]']
[146, '181', 'Roi[Traced,', 'x=413,', 'y=77,', 'width=19,', 'height=16]']
[147, '242', 'Roi[Traced,', 'x=150,', 'y=78,', 'width=19,', 'height=25]']
[148, '108', 'Roi[Traced,', 'x=182,', 'y=78,', 'width=12,', 'height=12]']
[149, '14', 'Roi[Traced,', 'x=240,', 'y=78,', 'width=4,', 'height=5]']
[150, '11', 'Roi[Traced,', 'x=24,', 'y=80,', 'width=5,', 'height=3]']
[151, '182', 'Roi[Traced,', 'x=136,', 'y=80,', 'width=13,', 'height=26]']
[152, '24', 'Roi[Traced,', 'x=246,', 'y=81,', 'width=7,', 'height=5]']
[153, '55', 'Roi[Traced,', 'x=204,', 'y=82,', 'width=11,', 'height=8]']
[154, '177', 'Roi[Traced,', 'x=426,', 'y=82,', 'width=20,', 'height=13]']
[155, '56', 'Roi[Traced,', 'x=54,', 'y=83,', 'width=9,', 'height=8]']
[156, '194', 'Roi[Traced,', 'x=84,', 'y=83,', 'width=24,', 'height=21]']
[157, '32', 'Roi[Traced,', 'x=168,', 'y=83,', 'width=7,', 'height=6]']
[158, '136', 'Roi[Traced,', 'x=272,', 'y=83,', 'width=15,', 'height=12]']
[159, '51', 'Roi[Traced,', 'x=303,', 'y=83,', 'width=10,', 'height=8]']
[160, '27', 'Roi[Traced,', 'x=241,', 'y=84,', 'width=6,', 'height=8]']
[161, '112', 'Roi[Traced,', 'x=0,', 'y=85,', 'width=10,', 'height=25]']
[162, '92', 'Roi[Traced,', 'x=68,', 'y=86,', 'width=14,', 'height=10]']
[163, '148', 'Roi[Traced,', 'x=314,', 'y=86,', 'width=17,', 'height=14]']
[164, '88', 'Roi[Traced,', 'x=401,', 'y=88,', 'width=15,', 'height=9]']
[165, '71', 'Roi[Traced,', 'x=123,', 'y=89,', 'width=10,', 'height=9]']
[166, '24', 'Roi[Traced,', 'x=229,', 'y=89,', 'width=5,', 'height=6]']
[167, '24', 'Roi[Traced,', 'x=290,', 'y=89,', 'width=8,', 'height=5]']
[168, '61', 'Roi[Traced,', 'x=37,', 'y=91,', 'width=8,', 'height=10]']
[169, '102', 'Roi[Traced,', 'x=183,', 'y=91,', 'width=12,', 'height=12]']
[170, '24', 'Roi[Traced,', 'x=471,', 'y=91,', 'width=6,', 'height=5]']
[171, '84', 'Roi[Traced,', 'x=7,', 'y=92,', 'width=13,', 'height=9]']
[172, '15', 'Roi[Traced,', 'x=171,', 'y=92,', 'width=4,', 'height=4]']
[173, '44', 'Roi[Traced,', 'x=368,', 'y=92,', 'width=7,', 'height=11]']
[174, '147', 'Roi[Traced,', 'x=14,', 'y=93,', 'width=17,', 'height=16]']
[175, '90', 'Roi[Traced,', 'x=47,', 'y=95,', 'width=13,', 'height=9]']
[176, '133', 'Roi[Traced,', 'x=262,', 'y=95,', 'width=13,', 'height=18]']
[177, '118', 'Roi[Traced,', 'x=328,', 'y=95,', 'width=15,', 'height=11]']
[178, '96', 'Roi[Traced,', 'x=242,', 'y=96,', 'width=14,', 'height=10]']
[179, '110', 'Roi[Traced,', 'x=355,', 'y=96,', 'width=12,', 'height=12]']
[180, '108', 'Roi[Traced,', 'x=197,', 'y=97,', 'width=12,', 'height=13]']
[181, '32', 'Roi[Traced,', 'x=229,', 'y=97,', 'width=7,', 'height=6]']
[182, '176', 'Roi[Traced,', 'x=392,', 'y=97,', 'width=25,', 'height=12]']
[183, '400', 'Roi[Traced,', 'x=419,', 'y=97,', 'width=23,', 'height=26]']
[184, '402', 'Roi[Traced,', 'x=441,', 'y=99,', 'width=26,', 'height=24]']
[185, '157', 'Roi[Traced,', 'x=307,', 'y=100,', 'width=14,', 'height=18]']
[186, '177', 'Roi[Traced,', 'x=56,', 'y=102,', 'width=21,', 'height=19]']
[187, '141', 'Roi[Traced,', 'x=213,', 'y=103,', 'width=15,', 'height=15]']
[188, '199', 'Roi[Traced,', 'x=87,', 'y=104,', 'width=23,', 'height=17]']
[189, '63', 'Roi[Traced,', 'x=295,', 'y=104,', 'width=11,', 'height=10]']
[190, '401', 'Roi[Traced,', 'x=323,', 'y=104,', 'width=23,', 'height=30]']
[191, '144', 'Roi[Traced,', 'x=374,', 'y=104,', 'width=17,', 'height=12]']
[192, '42', 'Roi[Traced,', 'x=108,', 'y=105,', 'width=7,', 'height=8]']
[193, '30', 'Roi[Traced,', 'x=472,', 'y=105,', 'width=10,', 'height=5]']
[194, '78', 'Roi[Traced,', 'x=23,', 'y=106,', 'width=10,', 'height=10]']
[195, '68', 'Roi[Traced,', 'x=0,', 'y=107,', 'width=6,', 'height=15]']
[196, '255', 'Roi[Traced,', 'x=152,', 'y=107,', 'width=20,', 'height=20]']
[197, '24', 'Roi[Traced,', 'x=180,', 'y=107,', 'width=5,', 'height=7]']
[198, '3', 'Roi[Traced,', 'x=40,', 'y=108,', 'width=2,', 'height=2]']
[199, '56', 'Roi[Traced,', 'x=139,', 'y=108,', 'width=7,', 'height=13]']
[200, '79', 'Roi[Traced,', 'x=239,', 'y=108,', 'width=10,', 'height=10]']
[201, '212', 'Roi[Traced,', 'x=258,', 'y=112,', 'width=21,', 'height=16]']
[202, '38', 'Roi[Traced,', 'x=51,', 'y=114,', 'width=8,', 'height=7]']
[203, '106', 'Roi[Traced,', 'x=352,', 'y=114,', 'width=13,', 'height=11]']
[204, '4', 'Roi[Traced,', 'x=203,', 'y=115,', 'width=3,', 'height=2]']
[205, '197', 'Roi[Traced,', 'x=32,', 'y=116,', 'width=24,', 'height=16]']
[206, '106', 'Roi[Traced,', 'x=121,', 'y=116,', 'width=15,', 'height=14]']
[207, '59', 'Roi[Traced,', 'x=276,', 'y=116,', 'width=8,', 'height=10]']
[208, '91', 'Roi[Traced,', 'x=17,', 'y=117,', 'width=12,', 'height=12]']
[209, '255', 'Roi[Traced,', 'x=230,', 'y=117,', 'width=29,', 'height=19]']
[210, '79', 'Roi[Traced,', 'x=108,', 'y=119,', 'width=13,', 'height=10]']
[211, '27', 'Roi[Traced,', 'x=465,', 'y=119,', 'width=6,', 'height=7]']
[212, '31', 'Roi[Traced,', 'x=321,', 'y=120,', 'width=6,', 'height=8]']
[213, '171', 'Roi[Traced,', 'x=5,', 'y=121,', 'width=11,', 'height=21]']
[214, '65', 'Roi[Traced,', 'x=294,', 'y=122,', 'width=11,', 'height=9]']
[215, '179', 'Roi[Traced,', 'x=356,', 'y=123,', 'width=29,', 'height=14]']
[216, '200', 'Roi[Traced,', 'x=437,', 'y=123,', 'width=21,', 'height=13]']
[217, '8', 'Roi[Traced,', 'x=485,', 'y=123,', 'width=3,', 'height=3]']
[218, '322', 'Roi[Traced,', 'x=72,', 'y=125,', 'width=27,', 'height=21]']
[219, '168', 'Roi[Traced,', 'x=417,', 'y=125,', 'width=17,', 'height=13]']
[220, '273', 'Roi[Traced,', 'x=129,', 'y=126,', 'width=22,', 'height=23]']
[221, '362', 'Roi[Traced,', 'x=269,', 'y=126,', 'width=27,', 'height=26]']
[222, '55', 'Roi[Traced,', 'x=260,', 'y=127,', 'width=9,', 'height=9]']
[223, '305', 'Roi[Traced,', 'x=150,', 'y=128,', 'width=21,', 'height=31]']
[224, '87', 'Roi[Traced,', 'x=391,', 'y=130,', 'width=12,', 'height=10]']
[225, '5', 'Roi[Traced,', 'x=31,', 'y=131,', 'width=3,', 'height=2]']
[226, '7', 'Roi[Traced,', 'x=309,', 'y=131,', 'width=3,', 'height=3]']
