[161, 'area=725', 'Roi[Traced,', 'x=361,', 'y=331,', 'width=29,', 'height=29]']
[162, 'area=725', 'Roi[Traced,', 'x=391,', 'y=331,', 'width=29,', 'height=29]']
[163, 'area=725', 'Roi[Traced,', 'x=421,', 'y=331,', 'width=29,', 'height=29]']
[164, 'area=734', 'Roi[Traced,', 'x=451,', 'y=331,', 'width=30,', 'height=29]']
[165, 'area=734', 'Roi[Traced,', 'x=30,', 'y=361,', 'width=30,', 'height=29]']
[166, 'area=725', 'Roi[Traced,', 'x=61,', 'y=361,', 'width=29,', 'height=29]']
[167, 'area=725', 'Roi[Traced,', 'x=91,', 'y=361,', 'width=29,', 'height=29]']
[168, 'area=725', 'Roi[Traced,', 'x=121,', 'y=361,', 'width=29,', 'height=29]']
[169, 'area=725', 'Roi[Traced,', 'x=151,', 'y=361,', 'width=29,', 'height=29]']
[170, 'area=725', 'Roi[Traced,', 'x=181,', 'y=361,', 'width=29,', 'height=29]']
[171, 'area=725', 'Roi[Traced,', 'x=211,', 'y=361,', 'width=29,', 'height=29]']
[172, 'area=725', 'Roi[Traced,', 'x=241,', 'y=361,', 'width=29,', 'height=29]']
[173, 'area=725', 'Roi[Traced,', 'x=271,', 'y=361,', 'width=29,', 'height=29]']
[174, 'area=725', 'Roi[Traced,', 'x=301,', 'y=361,', 'width=29,', 'height=29]']
[175, 'area=725', 'Roi[Traced,', 'x=331,', 'y=361,', 'width=29,', 'height=29]']
[176, 'area=725', 'Roi[Traced,', 'x=361,', 'y=361,', 'width=29,', 'height=29]']
[177, 'area=725', 'Roi[Traced,', 'x=391,', 'y=361,', 'width=29,', 'height=29]']
[178, 'area=725', 'Roi[Traced,', 'x=421,', 'y=361,', 'width=29,', 'height=29]']
[179, 'area=734', 'Roi[Traced,', 'x=451,', 'y=361,', 'width=30,', 'height=29]']
[180, 'area=734', 'Roi[Traced,', 'x=30,', 'y=391,', 'width=30,', 'height=29]']
[181, 'area=725', 'Roi[Traced,', 'x=61,', 'y=391,', 'width=29,', 'height=29]']
[182, 'area=725', 'Roi[Traced,', 'x=91,', 'y=391,', 'width=29,', 'height=29]']
[183, 'area=725', 'Roi[Traced,', 'x=121,', 'y=391,', 'width=29,', 'height=29]']
[184, 'area=725', 'Roi[Traced,', 'x=151,', 'y=391,', 'width=29,', 'height=29]']
[185, 'area=725', 'Roi[Traced,', 'x=181,', 'y=391,', 'width=29,', 'height=29]']
[186, 'area=725', 'Roi[Traced,', 'x=211,', 'y=391,', 'width=29,', 'height=29]']
[187, 'area=725', 'Roi[Traced,', 'x=241,', 'y=391,', 'width=29,', 'height=29]']
[188, 'area=725', 'Roi[Traced,', 'x=271,', 'y=391,', 'width=29,', 'height=29]']
[189, 'area=725', 'Roi[Traced,', 'x=301,', 'y=391,', 'width=29,', 'height=29]']
[190, 'area=725', 'Roi[Traced,', 'x=331,', 'y=391,', 'width=29,', 'height=29]']
[191, 'area=725', 'Roi[Traced,', 'x=361,', 'y=391,', 'width=29,', 'height=29]']
[192, 'area=725', 'Roi[Traced,', 'x=391,', 'y=391,', 'width=29,', 'height=29]']
[193, 'area=725', 'Roi[Traced,', 'x=421,', 'y=391,', 'width=29,', 'height=29]']
[194, 'area=734', 'Roi[Traced,', 'x=451,', 'y=391,', 'width=30,', 'height=29]']
[195, 'area=734', 'Roi[Traced,', 'x=30,', 'y=421,', 'width=30,', 'height=29]']
[196, 'area=725', 'Roi[Traced,', 'x=61,', 'y=421,', 'width=29,', 'height=29]']
[197, 'area=725', 'Roi[Traced,', 'x=91,', 'y=421,', 'width=29,', 'height=29]']
[198, 'area=725', 'Roi[Traced,', 'x=121,', 'y=421,', 'width=29,', 'height=29]']
[199, 'area=725', 'Roi[Traced,', 'x=151,', 'y=421,', 'width=29,', 'height=29]']
[200, 'area=725', 'Roi[Traced,', 'x=181,', 'y=421,', 'width=29,', 'height=29]']
[201, 'area=725', 'Roi[Traced,', 'x=211,', 'y=421,', 'width=29,', 'height=29]']
[202, 'area=725', 'Roi[Traced,', 'x=241,', 'y=421,', 'width=29,', 'height=29]']
[203, 'area=725', 'Roi[Traced,', 'x=271,', 'y=421,', 'width=29,', 'height=29]']
[204, 'area=725', 'Roi[Traced,', 'x=301,', 'y=421,', 'width=29,', 'height=29]']
[205, 'area=725', 'Roi[Traced,', 'x=331,', 'y=421,', 'width=29,', 'height=29]']
[206, 'area=725', 'Roi[Traced,', 'x=361,', 'y=421,', 'width=29,', 'height=29]']
[207, 'area=725', 'Roi[Traced,', 'x=391,', 'y=421,', 'width=29,', 'height=29]']
[208, 'area=725', 'Roi[Traced,', 'x=421,', 'y=421,', 'width=29,', 'height=29]']
[209, 'area=734', 'Roi[Traced,', 'x=451,', 'y=421,', 'width=30,', 'height=29]']
[210, 'area=743', 'Roi[Traced,', 'x=30,', 'y=451,', 'width=30,', 'height=30]']
[211, 'area=734', 'Roi[Traced,', 'x=61,', 'y=451,', 'width=29,', 'height=30]']
[212, 'area=734', 'Roi[Traced,', 'x=91,', 'y=451,', 'width=29,', 'height=30]']
[213, 'area=734', 'Roi[Traced,', 'x=121,', 'y=451,', 'width=29,', 'height=30]']
[214, 'area=734', 'Roi[Traced,', 'x=151,', 'y=451,', 'width=29,', 'height=30]']
[215, 'area=734', 'Roi[Traced,', 'x=181,', 'y=451,', 'width=29,', 'height=30]']
[216, 'area=734', 'Roi[Traced,', 'x=211,', 'y=451,', 'width=29,', 'height=30]']
[217, 'area=734', 'Roi[Traced,', 'x=241,', 'y=451,', 'width=29,', 'height=30]']
[218, 'area=734', 'Roi[Traced,', 'x=271,', 'y=451,', 'width=29,', 'height=30]']
[219, 'area=734', 'Roi[Traced,', 'x=301,', 'y=451,', 'width=29,', 'height=30]']
[220, 'area=734', 'Roi[Traced,', 'x=331,', 'y=451,', 'width=29,', 'height=30]']
[221, 'area=734', 'Roi[Traced,', 'x=361,', 'y=451,', 'width=29,', 'height=30]']
[222, 'area=734', 'Roi[Traced,', 'x=391,', 'y=451,', 'width=29,', 'height=30]']
[223, 'area=734', 'Roi[Traced,', 'x=421,', 'y=451,', 'width=29,', 'height=30]']
[224, 'area=743', 'Roi[Traced,', 'x=451,', 'y=451,', 'width=30,', 'height=30]']
approximate number of cells ~225
