[143, '=59', 'Roi[Traced,', 'x=119,', 'y=56,', 'width=9,', 'height=9]']
[144, '=55', 'Roi[Traced,', 'x=243,', 'y=56,', 'width=9,', 'height=9]']
[145, '=154', 'Roi[Traced,', 'x=333,', 'y=56,', 'width=19,', 'height=12]']
[146, '=149', 'Roi[Traced,', 'x=491,', 'y=56,', 'width=12,', 'height=19]']
[147, '=34', 'Roi[Traced,', 'x=573,', 'y=56,', 'width=7,', 'height=9]']
[148, '=5', 'Roi[Traced,', 'x=626,', 'y=56,', 'width=2,', 'height=3]']
[149, '=74', 'Roi[Traced,', 'x=313,', 'y=57,', 'width=9,', 'height=10]']
[150, '=9', 'Roi[Traced,', 'x=623,', 'y=57,', 'width=3,', 'height=5]']
[151, '=15', 'Roi[Traced,', 'x=22,', 'y=58,', 'width=5,', 'height=4]']
[152, '=127', 'Roi[Traced,', 'x=93,', 'y=58,', 'width=17,', 'height=10]']
[153, '=190', 'Roi[Traced,', 'x=146,', 'y=58,', 'width=19,', 'height=15]']
[154, '=67', 'Roi[Traced,', 'x=421,', 'y=59,', 'width=10,', 'height=9]']
[155, '=83', 'Roi[Traced,', 'x=286,', 'y=60,', 'width=11,', 'height=10]']
[156, '=192', 'Roi[Traced,', 'x=29,', 'y=61,', 'width=19,', 'height=15]']
[157, '=189', 'Roi[Traced,', 'x=365,', 'y=61,', 'width=21,', 'height=20]']
[158, '=89', 'Roi[Traced,', 'x=354,', 'y=62,', 'width=12,', 'height=11]']
[159, '=53', 'Roi[Traced,', 'x=211,', 'y=63,', 'width=8,', 'height=9]']
[160, '=3', 'Roi[Traced,', 'x=325,', 'y=63,', 'width=2,', 'height=2]']
[161, '=93', 'Roi[Traced,', 'x=49,', 'y=64,', 'width=10,', 'height=12]']
[162, '=166', 'Roi[Traced,', 'x=85,', 'y=64,', 'width=23,', 'height=15]']
[163, '=29', 'Roi[Traced,', 'x=582,', 'y=64,', 'width=7,', 'height=6]']
[164, '=55', 'Roi[Traced,', 'x=173,', 'y=65,', 'width=8,', 'height=9]']
[165, '=123', 'Roi[Traced,', 'x=524,', 'y=66,', 'width=13,', 'height=15]']
[166, '=206', 'Roi[Traced,', 'x=537,', 'y=66,', 'width=19,', 'height=18]']
[167, '=88', 'Roi[Traced,', 'x=588,', 'y=66,', 'width=11,', 'height=10]']
[168, '=92', 'Roi[Traced,', 'x=612,', 'y=66,', 'width=11,', 'height=12]']
[169, '=92', 'Roi[Traced,', 'x=181,', 'y=67,', 'width=14,', 'height=12]']
[170, '=80', 'Roi[Traced,', 'x=257,', 'y=67,', 'width=10,', 'height=12]']
[171, '=128', 'Roi[Traced,', 'x=330,', 'y=67,', 'width=12,', 'height=15]']
[172, '=51', 'Roi[Traced,', 'x=113,', 'y=68,', 'width=8,', 'height=9]']
[173, '=132', 'Roi[Traced,', 'x=232,', 'y=68,', 'width=13,', 'height=17]']
[174, '=107', 'Roi[Traced,', 'x=296,', 'y=68,', 'width=11,', 'height=17]']
[175, '=306', 'Roi[Traced,', 'x=420,', 'y=68,', 'width=21,', 'height=30]']
[176, '=76', 'Roi[Traced,', 'x=470,', 'y=68,', 'width=9,', 'height=11]']
[177, '=61', 'Roi[Traced,', 'x=122,', 'y=69,', 'width=8,', 'height=9]']
