[164, '=419', 'Roi[Traced,', 'x=521,', 'y=295,', 'width=24,', 'height=29]']
[165, '=433', 'Roi[Traced,', 'x=265,', 'y=296,', 'width=26,', 'height=24]']
[166, '=446', 'Roi[Traced,', 'x=75,', 'y=300,', 'width=29,', 'height=25]']
[167, '=504', 'Roi[Traced,', 'x=170,', 'y=302,', 'width=26,', 'height=27]']
[168, '=533', 'Roi[Traced,', 'x=423,', 'y=304,', 'width=28,', 'height=26]']
[169, '=94', 'Roi[Traced,', 'x=594,', 'y=306,', 'width=6,', 'height=23]']
[170, '=409', 'Roi[Traced,', 'x=490,', 'y=310,', 'width=25,', 'height=20]']
[171, '=406', 'Roi[Traced,', 'x=202,', 'y=311,', 'width=27,', 'height=25]']
[172, '=29', 'Roi[Traced,', 'x=410,', 'y=311,', 'width=8,', 'height=5]']
[173, '=407', 'Roi[Traced,', 'x=312,', 'y=314,', 'width=28,', 'height=29]']
[174, '=485', 'Roi[Traced,', 'x=533,', 'y=315,', 'width=29,', 'height=26]']
[175, '=335', 'Roi[Traced,', 'x=5,', 'y=324,', 'width=25,', 'height=22]']
[176, '=405', 'Roi[Traced,', 'x=95,', 'y=326,', 'width=26,', 'height=24]']
[177, '=357', 'Roi[Traced,', 'x=345,', 'y=329,', 'width=24,', 'height=22]']
[178, '=5', 'Roi[Traced,', 'x=595,', 'y=333,', 'width=2,', 'height=4]']
[179, '=449', 'Roi[Traced,', 'x=172,', 'y=336,', 'width=30,', 'height=26]']
[180, '=753', 'Roi[Traced,', 'x=423,', 'y=336,', 'width=31,', 'height=30]']
[181, '=406', 'Roi[Traced,', 'x=368,', 'y=337,', 'width=24,', 'height=27]']
[182, '=14', 'Roi[Traced,', 'x=124,', 'y=341,', 'width=5,', 'height=4]']
[183, '=379', 'Roi[Traced,', 'x=208,', 'y=341,', 'width=26,', 'height=23]']
[184, '=121', 'Roi[Traced,', 'x=89,', 'y=344,', 'width=14,', 'height=19]']
[185, '=382', 'Roi[Traced,', 'x=49,', 'y=346,', 'width=29,', 'height=22]']
[186, '=143', 'Roi[Traced,', 'x=0,', 'y=349,', 'width=20,', 'height=21]']
[187, '=102', 'Roi[Traced,', 'x=104,', 'y=351,', 'width=12,', 'height=17]']
[188, '=870', 'Roi[Traced,', 'x=501,', 'y=351,', 'width=30,', 'height=42]']
[189, '=414', 'Roi[Traced,', 'x=143,', 'y=354,', 'width=23,', 'height=25]']
[190, '=406', 'Roi[Traced,', 'x=276,', 'y=354,', 'width=24,', 'height=24]']
[191, '=541', 'Roi[Traced,', 'x=454,', 'y=354,', 'width=32,', 'height=24]']
[192, '=859', 'Roi[Traced,', 'x=535,', 'y=356,', 'width=35,', 'height=35]']
[193, '=489', 'Roi[Traced,', 'x=344,', 'y=358,', 'width=27,', 'height=28]']
[194, '=195', 'Roi[Traced,', 'x=586,', 'y=362,', 'width=14,', 'height=22]']
