[227, 'area=8013', 'Roi[Traced,', 'x=5270,', 'y=320,', 'width=101,', 'height=101]']
[228, 'area=8013', 'Roi[Traced,', 'x=5380,', 'y=320,', 'width=101,', 'height=101]']
[229, 'area=8013', 'Roi[Traced,', 'x=5490,', 'y=320,', 'width=101,', 'height=101]']
[230, 'area=8013', 'Roi[Traced,', 'x=5600,', 'y=320,', 'width=101,', 'height=101]']
[231, 'area=8013', 'Roi[Traced,', 'x=5710,', 'y=320,', 'width=101,', 'height=101]']
[232, 'area=8013', 'Roi[Traced,', 'x=5820,', 'y=320,', 'width=101,', 'height=101]']
[233, 'area=8013', 'Roi[Traced,', 'x=5930,', 'y=320,', 'width=101,', 'height=101]']
[234, 'area=8013', 'Roi[Traced,', 'x=6040,', 'y=320,', 'width=101,', 'height=101]']
[235, 'area=8013', 'Roi[Traced,', 'x=6150,', 'y=320,', 'width=101,', 'height=101]']
[236, 'area=8013', 'Roi[Traced,', 'x=6260,', 'y=320,', 'width=101,', 'height=101]']
[237, 'area=8013', 'Roi[Traced,', 'x=6370,', 'y=320,', 'width=101,', 'height=101]']
[238, 'area=8013', 'Roi[Traced,', 'x=6480,', 'y=320,', 'width=101,', 'height=101]']
[239, 'area=8013', 'Roi[Traced,', 'x=6590,', 'y=320,', 'width=101,', 'height=101]']
[240, 'area=8013', 'Roi[Traced,', 'x=6700,', 'y=320,', 'width=101,', 'height=101]']
[241, 'area=8013', 'Roi[Traced,', 'x=6810,', 'y=320,', 'width=101,', 'height=101]']
[242, 'area=8013', 'Roi[Traced,', 'x=6920,', 'y=320,', 'width=101,', 'height=101]']
[243, 'area=8013', 'Roi[Traced,', 'x=7030,', 'y=320,', 'width=101,', 'height=101]']
[244, 'area=8013', 'Roi[Traced,', 'x=7140,', 'y=320,', 'width=101,', 'height=101]']
[245, 'area=8013', 'Roi[Traced,', 'x=7250,', 'y=320,', 'width=101,', 'height=101]']
[246, 'area=8013', 'Roi[Traced,', 'x=7360,', 'y=320,', 'width=101,', 'height=101]']
[247, 'area=8013', 'Roi[Traced,', 'x=7470,', 'y=320,', 'width=101,', 'height=101]']
[248, 'area=8013', 'Roi[Traced,', 'x=7580,', 'y=320,', 'width=101,', 'height=101]']
[249, 'area=8013', 'Roi[Traced,', 'x=7690,', 'y=320,', 'width=101,', 'height=101]']
[250, 'area=8013', 'Roi[Traced,', 'x=7800,', 'y=320,', 'width=101,', 'height=101]']
[251, 'area=8013', 'Roi[Traced,', 'x=7910,', 'y=320,', 'width=101,', 'height=101]']
[252, 'area=8013', 'Roi[Traced,', 'x=8020,', 'y=320,', 'width=101,', 'height=101]']
[253, 'area=8013', 'Roi[Traced,', 'x=8130,', 'y=320,', 'width=101,', 'height=101]']
[254, 'area=8013', 'Roi[Traced,', 'x=8240,', 'y=320,', 'width=101,', 'height=101]']
[255, 'area=8013', 'Roi[Traced,', 'x=8350,', 'y=320,', 'width=101,', 'height=101]']
[256, 'area=8013', 'Roi[Traced,', 'x=8460,', 'y=320,', 'width=101,', 'height=101]']
[257, 'area=8013', 'Roi[Traced,', 'x=8570,', 'y=320,', 'width=101,', 'height=101]']
[258, 'area=8013', 'Roi[Traced,', 'x=8680,', 'y=320,', 'width=101,', 'height=101]']
[259, 'area=8013', 'Roi[Traced,', 'x=8790,', 'y=320,', 'width=101,', 'height=101]']
[260, 'area=8013', 'Roi[Traced,', 'x=8900,', 'y=320,', 'width=101,', 'height=101]']
[261, 'area=8013', 'Roi[Traced,', 'x=9010,', 'y=320,', 'width=101,', 'height=101]']
[262, 'area=8013', 'Roi[Traced,', 'x=9120,', 'y=320,', 'width=101,', 'height=101]']
[263, 'area=8013', 'Roi[Traced,', 'x=9230,', 'y=320,', 'width=101,', 'height=101]']
[264, 'area=8013', 'Roi[Traced,', 'x=9340,', 'y=320,', 'width=101,', 'height=101]']
[265, 'area=8013', 'Roi[Traced,', 'x=9450,', 'y=320,', 'width=101,', 'height=101]']
[266, 'area=8013', 'Roi[Traced,', 'x=9560,', 'y=320,', 'width=101,', 'height=101]']
[267, 'area=8013', 'Roi[Traced,', 'x=9670,', 'y=320,', 'width=101,', 'height=101]']
[268, 'area=8013', 'Roi[Traced,', 'x=9780,', 'y=320,', 'width=101,', 'height=101]']
[269, 'area=8013', 'Roi[Traced,', 'x=9890,', 'y=320,', 'width=101,', 'height=101]']
[270, 'area=2836', 'Roi[Traced,', 'x=100,', 'y=430,', 'width=101,', 'height=101]']
[271, 'area=2836', 'Roi[Traced,', 'x=210,', 'y=430,', 'width=101,', 'height=101]']
[272, 'area=2836', 'Roi[Traced,', 'x=320,', 'y=430,', 'width=101,', 'height=101]']
[273, 'area=2836', 'Roi[Traced,', 'x=430,', 'y=430,', 'width=101,', 'height=101]']
[274, 'area=2836', 'Roi[Traced,', 'x=540,', 'y=430,', 'width=101,', 'height=101]']
