[170, 'area=24', 'Roi[Traced,', 'x=471,', 'y=91,', 'width=6,', 'height=5]']
[171, 'area=84', 'Roi[Traced,', 'x=7,', 'y=92,', 'width=13,', 'height=9]']
[172, 'area=15', 'Roi[Traced,', 'x=171,', 'y=92,', 'width=4,', 'height=4]']
[173, 'area=44', 'Roi[Traced,', 'x=368,', 'y=92,', 'width=7,', 'height=11]']
[174, 'area=147', 'Roi[Traced,', 'x=14,', 'y=93,', 'width=17,', 'height=16]']
[175, 'area=90', 'Roi[Traced,', 'x=47,', 'y=95,', 'width=13,', 'height=9]']
[176, 'area=133', 'Roi[Traced,', 'x=262,', 'y=95,', 'width=13,', 'height=18]']
[177, 'area=118', 'Roi[Traced,', 'x=328,', 'y=95,', 'width=15,', 'height=11]']
[178, 'area=96', 'Roi[Traced,', 'x=242,', 'y=96,', 'width=14,', 'height=10]']
[179, 'area=110', 'Roi[Traced,', 'x=355,', 'y=96,', 'width=12,', 'height=12]']
[180, 'area=108', 'Roi[Traced,', 'x=197,', 'y=97,', 'width=12,', 'height=13]']
[181, 'area=32', 'Roi[Traced,', 'x=229,', 'y=97,', 'width=7,', 'height=6]']
[182, 'area=176', 'Roi[Traced,', 'x=392,', 'y=97,', 'width=25,', 'height=12]']
[183, 'area=400', 'Roi[Traced,', 'x=419,', 'y=97,', 'width=23,', 'height=26]']
[184, 'area=402', 'Roi[Traced,', 'x=441,', 'y=99,', 'width=26,', 'height=24]']
[185, 'area=157', 'Roi[Traced,', 'x=307,', 'y=100,', 'width=14,', 'height=18]']
[186, 'area=177', 'Roi[Traced,', 'x=56,', 'y=102,', 'width=21,', 'height=19]']
[187, 'area=141', 'Roi[Traced,', 'x=213,', 'y=103,', 'width=15,', 'height=15]']
[188, 'area=199', 'Roi[Traced,', 'x=87,', 'y=104,', 'width=23,', 'height=17]']
[189, 'area=63', 'Roi[Traced,', 'x=295,', 'y=104,', 'width=11,', 'height=10]']
[190, 'area=401', 'Roi[Traced,', 'x=323,', 'y=104,', 'width=23,', 'height=30]']
[191, 'area=144', 'Roi[Traced,', 'x=374,', 'y=104,', 'width=17,', 'height=12]']
[192, 'area=42', 'Roi[Traced,', 'x=108,', 'y=105,', 'width=7,', 'height=8]']
[193, 'area=30', 'Roi[Traced,', 'x=472,', 'y=105,', 'width=10,', 'height=5]']
[194, 'area=78', 'Roi[Traced,', 'x=23,', 'y=106,', 'width=10,', 'height=10]']
[195, 'area=68', 'Roi[Traced,', 'x=0,', 'y=107,', 'width=6,', 'height=15]']
[196, 'area=255', 'Roi[Traced,', 'x=152,', 'y=107,', 'width=20,', 'height=20]']
[197, 'area=24', 'Roi[Traced,', 'x=180,', 'y=107,', 'width=5,', 'height=7]']
[198, 'area=3', 'Roi[Traced,', 'x=40,', 'y=108,', 'width=2,', 'height=2]']
[199, 'area=56', 'Roi[Traced,', 'x=139,', 'y=108,', 'width=7,', 'height=13]']
[200, 'area=79', 'Roi[Traced,', 'x=239,', 'y=108,', 'width=10,', 'height=10]']
[201, 'area=212', 'Roi[Traced,', 'x=258,', 'y=112,', 'width=21,', 'height=16]']
[202, 'area=38', 'Roi[Traced,', 'x=51,', 'y=114,', 'width=8,', 'height=7]']
[203, 'area=106', 'Roi[Traced,', 'x=352,', 'y=114,', 'width=13,', 'height=11]']
[204, 'area=4', 'Roi[Traced,', 'x=203,', 'y=115,', 'width=3,', 'height=2]']
[205, 'area=197', 'Roi[Traced,', 'x=32,', 'y=116,', 'width=24,', 'height=16]']
[206, 'area=106', 'Roi[Traced,', 'x=121,', 'y=116,', 'width=15,', 'height=14]']
[207, 'area=59', 'Roi[Traced,', 'x=276,', 'y=116,', 'width=8,', 'height=10]']
[208, 'area=91', 'Roi[Traced,', 'x=17,', 'y=117,', 'width=12,', 'height=12]']
[209, 'area=255', 'Roi[Traced,', 'x=230,', 'y=117,', 'width=29,', 'height=19]']
[210, 'area=79', 'Roi[Traced,', 'x=108,', 'y=119,', 'width=13,', 'height=10]']
[211, 'area=27', 'Roi[Traced,', 'x=465,', 'y=119,', 'width=6,', 'height=7]']
[212, 'area=31', 'Roi[Traced,', 'x=321,', 'y=120,', 'width=6,', 'height=8]']
[213, 'area=171', 'Roi[Traced,', 'x=5,', 'y=121,', 'width=11,', 'height=21]']
[214, 'area=65', 'Roi[Traced,', 'x=294,', 'y=122,', 'width=11,', 'height=9]']
[215, 'area=179', 'Roi[Traced,', 'x=356,', 'y=123,', 'width=29,', 'height=14]']
[216, 'area=200', 'Roi[Traced,', 'x=437,', 'y=123,', 'width=21,', 'height=13]']
[217, 'area=8', 'Roi[Traced,', 'x=485,', 'y=123,', 'width=3,', 'height=3]']
[218, 'area=322', 'Roi[Traced,', 'x=72,', 'y=125,', 'width=27,', 'height=21]']
[219, 'area=168', 'Roi[Traced,', 'x=417,', 'y=125,', 'width=17,', 'height=13]']
[220, 'area=273', 'Roi[Traced,', 'x=129,', 'y=126,', 'width=22,', 'height=23]']
[221, 'area=362', 'Roi[Traced,', 'x=269,', 'y=126,', 'width=27,', 'height=26]']
[222, 'area=55', 'Roi[Traced,', 'x=260,', 'y=127,', 'width=9,', 'height=9]']
[223, 'area=305', 'Roi[Traced,', 'x=150,', 'y=128,', 'width=21,', 'height=31]']
[224, 'area=87', 'Roi[Traced,', 'x=391,', 'y=130,', 'width=12,', 'height=10]']
[225, 'area=5', 'Roi[Traced,', 'x=31,', 'y=131,', 'width=3,', 'height=2]']
[226, 'area=7', 'Roi[Traced,', 'x=309,', 'y=131,', 'width=3,', 'height=3]']
[227, 'area=242', 'Roi[Traced,', 'x=103,', 'y=132,', 'width=17,', 'height=21]']
[228, 'area=22', 'Roi[Traced,', 'x=192,', 'y=132,', 'width=4,', 'height=7]']
[229, 'area=7', 'Roi[Traced,', 'x=35,', 'y=134,', 'width=3,', 'height=5]']
[230, 'area=128', 'Roi[Traced,', 'x=234,', 'y=135,', 'width=19,', 'height=12]']
[231, 'area=28', 'Roi[Traced,', 'x=319,', 'y=137,', 'width=8,', 'height=9]']
[232, 'area=12', 'Roi[Traced,', 'x=386,', 'y=137,', 'width=5,', 'height=4]']
[233, 'area=316', 'Roi[Traced,', 'x=420,', 'y=137,', 'width=25,', 'height=21]']
[234, 'area=111', 'Roi[Traced,', 'x=403,', 'y=138,', 'width=15,', 'height=10]']
[235, 'area=173', 'Roi[Traced,', 'x=121,', 'y=139,', 'width=13,', 'height=18]']
[236, 'area=12', 'Roi[Traced,', 'x=231,', 'y=139,', 'width=4,', 'height=4]']
[237, 'area=304', 'Roi[Traced,', 'x=34,', 'y=140,', 'width=33,', 'height=18]']
[238, 'area=143', 'Roi[Traced,', 'x=354,', 'y=140,', 'width=15,', 'height=16]']
[239, 'area=121', 'Roi[Traced,', 'x=68,', 'y=142,', 'width=13,', 'height=22]']
[240, 'area=56', 'Roi[Traced,', 'x=303,', 'y=144,', 'width=13,', 'height=8]']
[241, 'area=6', 'Roi[Traced,', 'x=386,', 'y=144,', 'width=2,', 'height=3]']
[242, 'area=8', 'Roi[Traced,', 'x=0,', 'y=145,', 'width=2,', 'height=5]']
[243, 'area=19', 'Roi[Traced,', 'x=19,', 'y=146,', 'width=4,', 'height=8]']
[244, 'area=147', 'Roi[Traced,', 'x=91,', 'y=146,', 'width=14,', 'height=17]']
[245, 'area=106', 'Roi[Traced,', 'x=210,', 'y=147,', 'width=12,', 'height=12]']
[246, 'area=186', 'Roi[Traced,', 'x=259,', 'y=147,', 'width=22,', 'height=16]']
[247, 'area=250', 'Roi[Traced,', 'x=466,', 'y=147,', 'width=22,', 'height=22]']
[248, 'area=90', 'Roi[Traced,', 'x=336,', 'y=148,', 'width=14,', 'height=10]']
[249, 'area=48', 'Roi[Traced,', 'x=389,', 'y=148,', 'width=12,', 'height=6]']
[250, 'area=125', 'Roi[Traced,', 'x=224,', 'y=149,', 'width=17,', 'height=11]']
[251, 'area=116', 'Roi[Traced,', 'x=245,', 'y=149,', 'width=15,', 'height=10]']
[252, 'area=464', 'Roi[Traced,', 'x=293,', 'y=149,', 'width=41,', 'height=20]']
[253, 'area=178', 'Roi[Traced,', 'x=448,', 'y=149,', 'width=17,', 'height=17]']
[254, 'area=81', 'Roi[Traced,', 'x=3,', 'y=150,', 'width=12,', 'height=11]']
[255, 'area=80', 'Roi[Traced,', 'x=109,', 'y=153,', 'width=11,', 'height=13]']
[256, 'area=81', 'Roi[Traced,', 'x=59,', 'y=154,', 'width=10,', 'height=10]']
[257, 'area=19', 'Roi[Traced,', 'x=85,', 'y=154,', 'width=5,', 'height=5]']
[258, 'area=134', 'Roi[Traced,', 'x=346,', 'y=154,', 'width=18,', 'height=10]']
[259, 'area=223', 'Roi[Traced,', 'x=367,', 'y=154,', 'width=23,', 'height=13]']
[260, 'area=50', 'Roi[Traced,', 'x=143,', 'y=155,', 'width=9,', 'height=10]']
[261, 'area=217', 'Roi[Traced,', 'x=88,', 'y=159,', 'width=25,', 'height=14]']
[262, 'area=71', 'Roi[Traced,', 'x=335,', 'y=159,', 'width=11,', 'height=12]']
[263, 'area=314', 'Roi[Traced,', 'x=18,', 'y=161,', 'width=24,', 'height=21]']
[264, 'area=26', 'Roi[Traced,', 'x=206,', 'y=161,', 'width=7,', 'height=6]']
[265, 'area=249', 'Roi[Traced,', 'x=384,', 'y=161,', 'width=24,', 'height=20]']
[266, 'area=69', 'Roi[Traced,', 'x=153,', 'y=162,', 'width=11,', 'height=10]']
[267, 'area=20', 'Roi[Traced,', 'x=216,', 'y=162,', 'width=6,', 'height=4]']
[268, 'area=183', 'Roi[Traced,', 'x=233,', 'y=163,', 'width=24,', 'height=12]']
[269, 'area=109', 'Roi[Traced,', 'x=188,', 'y=164,', 'width=13,', 'height=14]']
[270, 'area=30', 'Roi[Traced,', 'x=280,', 'y=164,', 'width=6,', 'height=6]']
[271, 'area=24', 'Roi[Traced,', 'x=178,', 'y=165,', 'width=5,', 'height=6]']
[272, 'area=51', 'Roi[Traced,', 'x=169,', 'y=166,', 'width=8,', 'height=8]']
[273, 'area=100', 'Roi[Traced,', 'x=410,', 'y=166,', 'width=12,', 'height=12]']
[274, 'area=122', 'Roi[Traced,', 'x=427,', 'y=166,', 'width=17,', 'height=12]']
[275, 'area=162', 'Roi[Traced,', 'x=36,', 'y=167,', 'width=15,', 'height=20]']
[276, 'area=221', 'Roi[Traced,', 'x=63,', 'y=168,', 'width=20,', 'height=19]']
[277, 'area=85', 'Roi[Traced,', 'x=125,', 'y=168,', 'width=11,', 'height=10]']
[278, 'area=106', 'Roi[Traced,', 'x=267,', 'y=171,', 'width=17,', 'height=9]']
[279, 'area=22', 'Roi[Traced,', 'x=2,', 'y=172,', 'width=7,', 'height=4]']
[280, 'area=160', 'Roi[Traced,', 'x=332,', 'y=172,', 'width=19,', 'height=15]']
[281, 'area=201', 'Roi[Traced,', 'x=414,', 'y=172,', 'width=16,', 'height=20]']
[282, 'area=29', 'Roi[Traced,', 'x=451,', 'y=172,', 'width=8,', 'height=7]']
[283, 'area=60', 'Roi[Traced,', 'x=464,', 'y=172,', 'width=12,', 'height=9]']
[284, 'area=147', 'Roi[Traced,', 'x=87,', 'y=173,', 'width=16,', 'height=17]']
